address-book	&#xf2b9;
address-book-o	&#xf2ba
address-card	&#xf2bb
address-card-o	&#xf2bc
adjust	&#xf042;
american-sign-language-interpreting	&#xf2a3;
anchor	&#xf13d
archive	&#xf187;
area-chart	&#xf1fe
arrows	&#xf047;
arrows-h	&#xf07e
arrows-v	&#xf07d
asl-interpreting (alias)	&#xf2a3;
assistive-listening-systems	&#xf2a2;
asterisk	&#xf069;
at	&#xf1fa
audio-description	&#xf29e
automobile (alias)	&#xf1b9;
balance-scale	&#xf24e
ban	&#xf05e
bank (alias)	&#xf19c
bar-chart	&#xf080;
bar-chart-o (alias)	&#xf080;
barcode	&#xf02a
bars	&#xf0c9;
bath	&#xf2cd
bathtub (alias)	&#xf2cd
battery (alias)	&#xf240;
battery-0 (alias)	&#xf244;
battery-1 (alias)	&#xf243;
battery-2 (alias)	&#xf242;
battery-3 (alias)	&#xf241;
battery-4 (alias)	&#xf240;
battery-empty	&#xf244;
battery-full	&#xf240;
battery-half	&#xf242;
battery-quarter	&#xf243;
battery-three-quarters	&#xf241;
bed	&#xf236;
beer	&#xf0fc
bell	&#xf0f3;
bell-o	&#xf0a2;
bell-slash	&#xf1f6;
bell-slash-o	&#xf1f7;
bicycle	&#xf206;
binoculars	&#xf1e5;
birthday-cake	&#xf1fd
blind	&#xf29d
bluetooth	&#xf293;
bluetooth-b	&#xf294;
bolt	&#xf0e7;
bomb	&#xf1e2;
book	&#xf02d
bookmark	&#xf02e
bookmark-o	&#xf097;
braille	&#xf2a1;
briefcase	&#xf0b1;
bug	&#xf188;
building	&#xf1ad
building-o	&#xf0f7;
bullhorn	&#xf0a1;
bullseye	&#xf140;
bus	&#xf207;
cab (alias)	&#xf1ba
calculator	&#xf1ec
calendar	&#xf073;
calendar-check-o	&#xf274;
calendar-minus-o	&#xf272;
calendar-o	&#xf133;
calendar-plus-o	&#xf271;
calendar-times-o	&#xf273;
camera	&#xf030;
camera-retro	&#xf083;
car	&#xf1b9;
caret-square-o-down	&#xf150;
caret-square-o-left	&#xf191;
caret-square-o-right	&#xf152;
caret-square-o-up	&#xf151;
cart-arrow-down	&#xf218;
cart-plus	&#xf217;
cc	&#xf20a
certificate	&#xf0a3;
check	&#xf00c
check-circle	&#xf058;
check-circle-o	&#xf05d
check-square	&#xf14a
check-square-o	&#xf046;
child	&#xf1ae
circle	&#xf111;
circle-o	&#xf10c
circle-o-notch	&#xf1ce
circle-thin	&#xf1db
clock-o	&#xf017;
clone	&#xf24d
close (alias)	&#xf00d
cloud	&#xf0c2;
cloud-download	&#xf0ed
cloud-upload	&#xf0ee
code	&#xf121;
code-fork	&#xf126;
coffee	&#xf0f4;
cog	&#xf013;
cogs	&#xf085;
comment	&#xf075;
comment-o	&#xf0e5;
commenting	&#xf27a
commenting-o	&#xf27b
comments	&#xf086;
comments-o	&#xf0e6;
compass	&#xf14e
copyright	&#xf1f9;
creative-commons	&#xf25e
credit-card	&#xf09d
credit-card-alt	&#xf283;
crop	&#xf125;
crosshairs	&#xf05b
cube	&#xf1b2;
cubes	&#xf1b3;
cutlery	&#xf0f5;
dashboard (alias)	&#xf0e4;
database	&#xf1c0;
deaf	&#xf2a4;
deafness (alias)	&#xf2a4;
desktop	&#xf108;
diamond	&#xf219;
dot-circle-o	&#xf192;
download	&#xf019;
drivers-license (alias)	&#xf2c2;
drivers-license-o (alias)	&#xf2c3;
edit (alias)	&#xf044;
ellipsis-h	&#xf141;
ellipsis-v	&#xf142;
envelope	&#xf0e0;
envelope-o	&#xf003;
envelope-open	&#xf2b6;
envelope-open-o	&#xf2b7;
envelope-square	&#xf199;
eraser	&#xf12d
exchange	&#xf0ec
exclamation	&#xf12a
exclamation-circle	&#xf06a
exclamation-triangle	&#xf071;
external-link	&#xf08e
external-link-square	&#xf14c
eye	&#xf06e
eye-slash	&#xf070;
eyedropper	&#xf1fb
fax	&#xf1ac
feed (alias)	&#xf09e
female	&#xf182;
fighter-jet	&#xf0fb
file-archive-o	&#xf1c6;
file-audio-o	&#xf1c7;
file-code-o	&#xf1c9;
file-excel-o	&#xf1c3;
file-image-o	&#xf1c5;
file-movie-o (alias)	&#xf1c8;
file-pdf-o	&#xf1c1;
file-photo-o (alias)	&#xf1c5;
file-picture-o (alias)	&#xf1c5;
file-powerpoint-o	&#xf1c4;
file-sound-o (alias)	&#xf1c7;
file-video-o	&#xf1c8;
file-word-o	&#xf1c2;
file-zip-o (alias)	&#xf1c6;
film	&#xf008;
filter	&#xf0b0;
fire	&#xf06d
fire-extinguisher	&#xf134;
flag	&#xf024;
flag-checkered	&#xf11e
flag-o	&#xf11d
flash (alias)	&#xf0e7;
flask	&#xf0c3;
folder	&#xf07b
folder-o	&#xf114;
folder-open	&#xf07c
folder-open-o	&#xf115;
frown-o	&#xf119;
futbol-o	&#xf1e3;
gamepad	&#xf11b
gavel	&#xf0e3;
gear (alias)	&#xf013;
gears (alias)	&#xf085;
gift	&#xf06b
glass	&#xf000;
globe	&#xf0ac
graduation-cap	&#xf19d
group (alias)	&#xf0c0;
hand-grab-o (alias)	&#xf255;
hand-lizard-o	&#xf258;
hand-paper-o	&#xf256;
hand-peace-o	&#xf25b
hand-pointer-o	&#xf25a
hand-rock-o	&#xf255;
hand-scissors-o	&#xf257;
hand-spock-o	&#xf259;
hand-stop-o (alias)	&#xf256;
handshake-o	&#xf2b5;
hard-of-hearing (alias)	&#xf2a4;
hashtag	&#xf292;
hdd-o	&#xf0a0;
headphones	&#xf025;
heart	&#xf004;
heart-o	&#xf08a
heartbeat	&#xf21e
history	&#xf1da
home	&#xf015;
hotel (alias)	&#xf236;
hourglass	&#xf254;
hourglass-1 (alias)	&#xf251;
hourglass-2 (alias)	&#xf252;
hourglass-3 (alias)	&#xf253;
hourglass-end	&#xf253;
hourglass-half	&#xf252;
hourglass-o	&#xf250;
hourglass-start	&#xf251;
i-cursor	&#xf246;
id-badge	&#xf2c1;
id-card	&#xf2c2;
