123	eb8d
3d_rotation	e84d
abc	eb94
accessibility	e84e
accessibility_new	e92c
accessible	e914
accessible_forward	e934
account_balance	e84f
account_balance_wallet	e850
account_box	e851
account_circle	e853
add_card	eb86
add_home	f8eb
add_shopping_cart	e854
add_task	f23a
add_to_drive	e65c
addchart	ef3c
admin_panel_settings	ef3d
ads_click	e762
alarm	e855
alarm_add	e856
alarm_off	e857
alarm_on	e858
all_inbox	e97f
all_out	e90b
analytics	ef3e
anchor	f1cd
android	e859
announcement	e85a
api	f1b7
app_blocking	ef3f
app_shortcut	eae4
arrow_circle_down	f181
arrow_circle_left	eaa7
arrow_circle_right	eaaa
arrow_circle_up	f182
arrow_outward	f8ce
arrow_right_alt	e941
article	ef42
aspect_ratio	e85b
assessment	e85c
assignment	e85d
assignment_ind	e85e
assignment_late	e85f
assignment_return	e860
assignment_returned	e861
assignment_turned_in	e862
assured_workload	eb6f
autorenew	e863
backup	e864
backup_table	ef43
balance	eaf6
batch_prediction	f0f5
book	e865
book_online	f217
bookmark	e866
bookmark_add	e598
bookmark_added	e599
bookmark_border	e867
bookmark_remove	e59a
bookmarks	e98b
browse_gallery	ebd1
bug_report	e868
build	e869
build_circle	ef48
cached	e86a
calendar_month	ebcc
calendar_today	e935
calendar_view_day	e936
calendar_view_month	efe7
calendar_view_week	efe8
camera_enhance	e8fc
cancel_schedule_send	ea39
card_giftcard	e8f6
card_membership	e8f7
card_travel	e8f8
change_history	e86b
check_circle	e86c
check_circle_outline	e92d
chrome_reader_mode	e86d
circle_notifications	e994
class	e86e
close_fullscreen	f1cf
code	e86f
code_off	e4f3
comment_bank	ea4e
commit	eaf5
commute	e940
compare_arrows	e915
compress	e94d
contact_page	f22e
contact_support	e94c
contactless	ea71
copyright	e90c
credit_card	e870
credit_card_off	e4f4
css	eb93
currency_exchange	eb70
dangerous	e99a
dashboard	e871
dashboard_customize	e99b
data_exploration	e76f
data_thresholding	eb9f
date_range	e916
delete	e872
delete_forever	e92b
delete_outline	e92e
density_large	eba9
density_medium	eb9e
density_small	eba8
description	e873
disabled_by_default	f230
disabled_visible	e76e
display_settings	eb97
dns	e875
done	e876
done_all	e877
done_outline	e92f
donut_large	e917
donut_small	e918
drag_indicator	e945
dynamic_form	f1bf
edit_calendar	e742
edit_off	e950
eject	e8fb
euro_symbol	e926
event	e878
event_repeat	eb7b
event_seat	e903
exit_to_app	e879
expand	e94f
explore	e87a
explore_off	e9a8
extension	e87b
extension_off	e4f5
face	e87c
fact_check	f0c5
favorite	e87d
favorite_border	e87e
fax	ead8
feedback	e87f
file_present	ea0e
filter_alt	ef4f
filter_alt_off	eb32
find_in_page	e880
find_replace	e881
fingerprint	e90d
fit_screen	ea10
flaky	ef50
flight_land	e904
flight_takeoff	e905
flip_to_back	e882
flip_to_front	e883
flutter_dash	e00b
free_cancellation	e748
g_translate	e927
gavel	e90e
generating_tokens	e749
get_app	e884
gif	e908
gif_box	e7a3
grade	e885
grading	ea4f
group_work	e886
help	e887
help_center	f1c0
help_outline	e8fd
hide_source	f023
highlight_alt	ef52
highlight_off	e888
history	e889
history_toggle_off	f17d
hls	eb8a
hls_off	eb8c
home	e88a
horizontal_split	e947
hotel_class	e743
hourglass_disabled	ef53
hourglass_empty	e88b
hourglass_full	e88c
html	eb7e
http	e902
https	e88d
important_devices	e912
info	e88e
input	e890
install_desktop	eb71
install_mobile	eb72
integration_instructions	ef54
invert_colors	e891
javascript	eb7c
join_full	eaeb
join_inner	eaf4
join_left	eaf2
join_right	eaea
label	e892
label_important	e937
label_off	e9b6
language	e894
launch	e895
leaderboard	f20c
lightbulb	e0f0
lightbulb_circle	ebfe
line_style	e919
line_weight	e91a
list	e896
lock	e897
lock_clock	ef57
lock_open	e898
lock_person	f8f3
lock_reset	eade
login	ea77
logout	e9ba
loyalty	e89a
manage_accounts	f02e
manage_history	ebe7
mark_as_unread	e9bc
markunread_mailbox	e89b
maximize	e930
mediation	efa7
minimize	e931
model_training	f0cf
network_ping	ebca
new_label	e609
next_plan	ef5d
nightlight_round	ef5e
no_accounts	f03e
noise_aware	ebec
noise_control_off	ebf3
not_accessible	f0fe
not_started	f0d1
note_add	e89c
offline_bolt	e932
offline_pin	e90a
on_device_training	ebfd
online_prediction	f0eb
opacity	e91c
open_in_browser	e89d
open_in_full	f1ce
open_in_new	e89e
open_in_new_off	e4f6
open_with	e89f
outbound	e1ca
outbox	ef5f
outlet	f1d4
output	ebbe
pageview	e8a0
paid	f041
pan_tool	e925
pan_tool_alt	ebb9
payment	e8a1
pending	ef64
pending_actions	f1bb
percent	eb58
perm_camera_mic	e8a2
perm_contact_calendar	e8a3
perm_data_setting	e8a4
perm_device_information	e8a5
perm_identity	e8a6
perm_media	e8a7
perm_phone_msg	e8a8
perm_scan_wifi	e8a9
pets	e91d
php	eb8f
picture_in_picture	e8aa
picture_in_picture_alt	e911
pin_end	e767
pin_invoke	e763
pinch	eb38
plagiarism	ea5a
play_for_work	e906
polymer	e8ab
power_settings_new	e8ac
pregnant_woman	e91e
preview	f1c5
print	e8ad
privacy_tip	f0dc
private_connectivity	e744
production_quantity_limits	e1d1
published_with_changes	f232
query_builder	e8ae
question_answer	e8af
question_mark	eb8b
quickreply	ef6c
receipt	e8b0
record_voice_over	e91f
redeem	e8b1
remove_done	e9d3
remove_shopping_cart	e928
reorder	e8fe
repartition	f8e8
report_problem	e8b2
request_page	f22c
restore	e8b3
restore_from_trash	e938
restore_page	e929
rocket	eba5
rocket_launch	eb9b
room	e8b4
rounded_corner	e920
rowing	e921
rule	f1c2
satellite_alt	eb3a
saved_search	ea11
savings	e2eb
schedule	e8b5
schedule_send	ea0a
search	e8b6
search_off	ea76
segment	e94b
send_and_archive	ea0c
sensors	e51e
sensors_off	e51f
settings	e8b8
settings_accessibility	f05d
settings_applications	e8b9
settings_backup_restore	e8ba
settings_bluetooth	e8bb
settings_brightness	e8bd
settings_cell	e8bc
settings_ethernet	e8be
settings_input_antenna	e8bf
settings_input_component	e8c0
settings_input_composite	e8c1
settings_input_hdmi	e8c2
settings_input_svideo	e8c3
settings_overscan	e8c4
settings_phone	e8c5
