3p	efd1
add_ic_call	e97c
alternate_email	e0e6
app_registration	ef40
business	e0af
call	e0b0
call_end	e0b1
call_made	e0b2
call_merge	e0b3
call_missed	e0b4
call_missed_outgoing	e0e4
call_received	e0b5
call_split	e0b6
cancel_presentation	e0e9
cell_tower	ebba
cell_wifi	e0ec
chat	e0b7
chat_bubble	e0ca
chat_bubble_outline	e0cb
clear_all	e0b8
co_present	eaf0
comment	e0b9
comments_disabled	e7a2
contact_emergency	f8d1
contact_mail	e0d0
contact_phone	e0cf
contacts	e0ba
desktop_access_disabled	e99d
dialer_sip	e0bb
dialpad	e0bc
document_scanner	e5fa
domain_disabled	e0ef
domain_verification	ef4c
duo	e9a5
email	e0be
forum	e0bf
forward_to_inbox	f187
hourglass_bottom	ea5c
hourglass_top	ea5b
hub	e9f4
import_contacts	e0e0
import_export	e0c3
invert_colors_off	e0c4
key	e73c
key_off	eb84
list_alt	e0ee
live_help	e0c6
location_off	e0c7
location_on	e0c8
mail_lock	ec0a
mail_outline	e0e1
mark_chat_read	f18b
mark_chat_unread	f189
mark_email_read	f18c
mark_email_unread	f18a
mark_unread_chat_alt	eb9d
message	e0c9
mobile_screen_share	e0e7
more_time	ea5d
nat	ef5c
no_sim	e0cc
pause_presentation	e0ea
person_add_disabled	e9cb
person_search	f106
phone	e0cd
phone_disabled	e9cc
phone_enabled	e9cd
phonelink_erase	e0db
phonelink_lock	e0dc
phonelink_ring	e0dd
phonelink_setup	e0de
portable_wifi_off	e0ce
present_to_all	e0df
print_disabled	e9cf
qr_code	ef6b
qr_code_2	e00a
qr_code_scanner	f206
read_more	ef6d
ring_volume	e0d1
rss_feed	e0e5
rtt	e9ad
screen_share	e0e2
send_time_extension	eadb
sentiment_satisfied_alt	e0ed
sip	f069
speaker_phone	e0d2
spoke	e9a7
stay_current_landscape	e0d3
stay_current_portrait	e0d4
stay_primary_landscape	e0d5
stay_primary_portrait	e0d6
stop_screen_share	e0e3
swap_calls	e0d7
textsms	e0d8
unsubscribe	e0eb
voicemail	e0d9
vpn_key	e0da
vpn_key_off	eb7a
wifi_calling	ef77
