add	e145
add_box	e146
add_circle	e147
add_circle_outline	e148
add_link	e178
archive	e149
attribution	efdb
backspace	e14a
ballot	e172
biotech	ea3a
block	e14b
bolt	ea0b
calculate	ea5f
change_circle	e2e7
clear	e14c
content_copy	e14d
content_cut	e14e
content_paste	e14f
content_paste_go	ea8e
content_paste_off	e4f8
content_paste_search	ea9b
copy_all	e2ec
create	e150
delete_sweep	e16c
deselect	ebb6
drafts	e151
dynamic_feed	ea14
file_copy	e173
filter_list	e152
filter_list_off	eb57
flag	e153
flag_circle	eaf8
font_download	e167
font_download_off	e4f9
forward	e154
gesture	e155
how_to_reg	e174
how_to_vote	e175
inbox	e156
insights	f092
inventory	e179
inventory_2	e1a1
link	e157
link_off	e16f
low_priority	e16d
mail	e158
markunread	e159
move_to_inbox	e168
next_week	e16a
outlined_flag	e16e
policy	ea17
push_pin	f10d
redo	e15a
remove	e15b
remove_circle	e15c
remove_circle_outline	e15d
reply	e15e
reply_all	e15f
report	e160
report_gmailerrorred	f052
report_off	e170
save	e161
save_alt	e171
save_as	eb60
select_all	e162
send	e163
shield	e9e0
sort	e164
square_foot	ea49
stacked_bar_chart	e9e6
stream	e9e9
tag	e9ef
text_format	e165
unarchive	e169
undo	e166
upcoming	f07e
waves	e176
web_stories	e595
weekend	e16b
where_to_vote	e177
