1x_mobiledata	efcd
30fps	efce
3g_mobiledata	efd0
4g_mobiledata	efd2
4g_plus_mobiledata	efd3
60fps	efd4
access_alarm	e190
access_alarms	e191
access_time	e192
access_time_filled	efd6
ad_units	ef39
add_alarm	e193
add_to_home_screen	e1fe
air	efd8
airplane_ticket	efd9
airplanemode_active	e195
airplanemode_inactive	e194
aod	efda
battery_0_bar	ebdc
battery_1_bar	ebd9
battery_2_bar	ebe0
battery_3_bar	ebdd
battery_4_bar	ebe2
battery_5_bar	ebd4
battery_6_bar	ebd2
battery_alert	e19c
battery_charging_full	e1a3
battery_full	e1a4
battery_saver	efde
battery_std	e1a5
battery_unknown	e1a6
bloodtype	efe4
bluetooth	e1a7
bluetooth_connected	e1a8
bluetooth_disabled	e1a9
bluetooth_drive	efe5
bluetooth_searching	e1aa
brightness_auto	e1ab
brightness_high	e1ac
brightness_low	e1ad
brightness_medium	e1ae
cable	efe6
cameraswitch	efeb
credit_score	eff1
dark_mode	e51c
data_saver_off	eff2
data_saver_on	eff3
data_usage	e1af
dataset	f8ee
dataset_linked	f8ef
developer_mode	e1b0
device_thermostat	e1ff
devices	e1b1
devices_fold	ebde
discount	ebc9
do_not_disturb_on_total_silence	effb
dvr	e1b2
e_mobiledata	f002
edgesensor_high	f005
edgesensor_low	f006
flashlight_off	f00a
flashlight_on	f00b
fluorescent	ec31
fmd_bad	f00e
fmd_good	f00f
g_mobiledata	f010
gpp_bad	f012
gpp_good	f013
gpp_maybe	f014
gps_fixed	e1b3
gps_not_fixed	e1b4
gps_off	e1b5
graphic_eq	e1b8
grid_3x3	f015
grid_4x4	f016
grid_goldenratio	f017
h_mobiledata	f018
h_plus_mobiledata	f019
hdr_auto	f01a
hdr_auto_select	f01b
hdr_off_select	f01c
hdr_on_select	f01d
lan	eb2f
lens_blur	f029
light_mode	e518
location_disabled	e1b6
location_searching	e1b7
lte_mobiledata	f02c
lte_plus_mobiledata	f02d
macro_off	f8d2
media_bluetooth_off	f031
media_bluetooth_on	f032
medication	f033
medication_liquid	ea87
mobile_friendly	e200
mobile_off	e201
mobiledata_off	f034
mode_night	f036
mode_standby	f037
monitor_heart	eaa2
monitor_weight	f039
nearby_error	f03b
nearby_off	f03c
network_cell	e1b9
network_wifi	e1ba
network_wifi_1_bar	ebe4
network_wifi_2_bar	ebd6
network_wifi_3_bar	ebe1
nfc	e1bb
nightlight	f03d
note_alt	f040
password	f042
pattern	f043
phishing	ead7
pin	f045
play_lesson	f047
price_change	f04a
price_check	f04b
punch_clock	eaa8
quiz	f04c
r_mobiledata	f04d
radar	f04e
remember_me	f051
reset_tv	e9d9
restart_alt	f053
reviews	f054
rsvp	f055
screen_lock_landscape	e1be
screen_lock_portrait	e1bf
screen_lock_rotation	e1c0
screen_rotation	e1c1
screen_search_desktop	ef70
screenshot	f056
screenshot_monitor	ec08
sd_storage	e1c2
security_update	f058
security_update_good	f059
security_update_warning	f05a
sell	f05b
send_to_mobile	f05c
settings_suggest	f05e
settings_system_daydream	e1c3
share_location	f05f
shortcut	f060
signal_cellular_0_bar	f0a8
signal_cellular_4_bar	e1c8
signal_cellular_alt	e202
signal_cellular_alt_1_bar	ebdf
signal_cellular_alt_2_bar	ebe3
signal_cellular_connected_no_internet_0_bar	f0ac
signal_cellular_connected_no_internet_4_bar	e1cd
signal_cellular_no_sim	e1ce
signal_cellular_nodata	f062
signal_cellular_null	e1cf
signal_cellular_off	e1d0
signal_wifi_0_bar	f0b0
signal_wifi_4_bar	e1d8
signal_wifi_4_bar_lock	e1d9
signal_wifi_bad	f063
signal_wifi_connected_no_internet_4	f064
signal_wifi_off	e1da
signal_wifi_statusbar_4_bar	f065
signal_wifi_statusbar_connected_no_internet_4	f066
signal_wifi_statusbar_null	f067
sim_card_download	f068
splitscreen	f06d
sports_score	f06e
ssid_chart	eb66
storage	e1db
storm	f070
summarize	f071
system_security_update	f072
system_security_update_good	f073
system_security_update_warning	f074
task	f075
thermostat	f076
timer_10_select	f07a
timer_3_select	f07b
tungsten	f07d
usb	e1e0
usb_off	e4fa
wallpaper	e1bc
water	f084
widgets	e1bd
wifi_1_bar	e4ca
wifi_2_bar	e4d9
wifi_calling_3	f085
wifi_channel	eb6a
wifi_find	eb31
wifi_lock	e1e1
wifi_password	eb6b
wifi_tethering	e1e2
wifi_tethering_error	ead9
wifi_tethering_off	f087
