add_chart	e97b
add_comment	e266
align_horizontal_center	e00f
align_horizontal_left	e00d
align_horizontal_right	e010
align_vertical_bottom	e015
align_vertical_center	e011
align_vertical_top	e00c
area_chart	e770
attach_file	e226
attach_money	e227
auto_graph	e4fb
bar_chart	e26b
border_all	e228
border_bottom	e229
border_clear	e22a
border_color	e22b
border_horizontal	e22c
border_inner	e22d
border_left	e22e
border_outer	e22f
border_right	e230
border_style	e231
border_top	e232
border_vertical	e233
bubble_chart	e6dd
candlestick_chart	ead4
checklist	e6b1
checklist_rtl	e6b3
data_array	ead1
data_object	ead3
drag_handle	e25d
draw	e746
edit_note	e745
format_align_center	e234
format_align_justify	e235
format_align_left	e236
format_align_right	e237
format_bold	e238
format_clear	e239
format_color_fill	e23a
format_color_reset	e23b
format_color_text	e23c
format_indent_decrease	e23d
format_indent_increase	e23e
format_italic	e23f
format_line_spacing	e240
format_list_bulleted	e241
format_list_numbered	e242
format_list_numbered_rtl	e267
format_paint	e243
format_quote	e244
format_shapes	e25e
format_size	e245
format_strikethrough	e246
format_textdirection_l_to_r	e247
format_textdirection_r_to_l	e248
format_underlined	e249
functions	e24a
height	ea16
hexagon	eb39
highlight	e25f
horizontal_distribute	e014
horizontal_rule	f108
insert_chart	e24b
insert_chart_outlined	e26a
insert_comment	e24c
insert_drive_file	e24d
insert_emoticon	e24e
insert_invitation	e24f
insert_link	e250
insert_page_break	eaca
insert_photo	e251
line_axis	ea9a
linear_scale	e260
margin	e9bb
merge_type	e252
mode	f097
mode_comment	e253
mode_edit	e254
mode_edit_outline	f035
monetization_on	e263
money_off	e25c
money_off_csred	f038
move_down	eb61
move_up	eb64
multiline_chart	e6df
notes	e26c
numbers	eac7
padding	e9c8
pentagon	eb50
pie_chart	e6c4
pie_chart_outline	f044
polyline	ebbb
post_add	ea20
publish	e255
query_stats	e4fc
rectangle	eb54
scatter_plot	e268
schema	e4fd
score	e269
shape_line	f8d3
short_text	e261
show_chart	e6e1
space_bar	e256
square	eb36
stacked_line_chart	f22b
strikethrough_s	e257
subscript	f111
superscript	f112
table_chart	e265
table_rows	f101
text_decrease	eadd
text_fields	e262
text_increase	eae2
title	e264
type_specimen	f8f0
vertical_align_bottom	e258
vertical_align_center	e259
vertical_align_top	e25a
vertical_distribute	e076
wrap_text	e25b
