adf_scanner	eada
browser_not_supported	ef47
browser_updated	e7cf
cast	e307
cast_connected	e308
cast_for_education	efec
computer	e30a
connected_tv	e998
desktop_mac	e30b
desktop_windows	e30c
developer_board	e30d
developer_board_off	e4ff
device_hub	e335
device_unknown	e339
devices_other	e337
dock	e30e
earbuds	f003
earbuds_battery	f004
gamepad	e30f
headphones	f01f
headphones_battery	f020
headset	e310
headset_mic	e311
headset_off	e33a
home_max	f024
home_mini	f025
keyboard	e312
keyboard_alt	f028
keyboard_arrow_down	e313
keyboard_arrow_left	e314
keyboard_arrow_right	e315
keyboard_arrow_up	e316
keyboard_backspace	e317
keyboard_capslock	e318
keyboard_command_key	eae7
keyboard_control_key	eae6
keyboard_double_arrow_down	ead0
keyboard_double_arrow_left	eac3
keyboard_double_arrow_right	eac9
keyboard_double_arrow_up	eacf
keyboard_hide	e31a
keyboard_option_key	eae8
keyboard_return	e31b
keyboard_tab	e31c
keyboard_voice	e31d
laptop	e31e
laptop_chromebook	e31f
laptop_mac	e320
laptop_windows	e321
memory	e322
monitor	ef5b
mouse	e323
phone_android	e324
phone_iphone	e325
phonelink	e326
phonelink_off	e327
point_of_sale	f17e
power_input	e336
router	e328
scanner	e329
security	e32a
sim_card	e32b
smart_display	f06a
smart_screen	f06b
smart_toy	f06c
smartphone	e32c
speaker	e32d
speaker_group	e32e
start	e089
tablet	e32f
tablet_android	e330
tablet_mac	e331
toys	e332
tv	e333
videogame_asset	e338
videogame_asset_off	e500
watch	e334
watch_off	eae3
