auto_mode	ec20
blinds	e286
blinds_closed	ec1f
broadcast_on_home	f8f8
broadcast_on_personal	f8f9
curtains	ec1e
curtains_closed	ec1d
electric_bolt	ec1c
electric_meter	ec1b
energy_savings_leaf	ec1a
gas_meter	ec19
heat_pump	ec18
mode_fan_off	ec17
nest_cam_wired_stand	ec16
oil_barrel	ec15
propane	ec14
propane_tank	ec13
roller_shades	ec12
roller_shades_closed	ec11
sensor_door	f1b5
sensor_occupied	ec10
sensor_window	f1b4
shield_moon	eaa9
solar_power	ec0f
vertical_shades	ec0e
vertical_shades_closed	ec0d
wind_power	ec0c
