360	e577
add_business	e729
add_location	e567
add_location_alt	ef3a
add_road	ef3b
agriculture	ea79
airline_stops	e7d0
airlines	e7ca
alt_route	f184
atm	e573
attractions	ea52
badge	ea67
bakery_dining	ea53
beenhere	e52d
bike_scooter	ef45
breakfast_dining	ea54
brunch_dining	ea73
bus_alert	e98f
car_crash	ebf2
car_rental	ea55
car_repair	ea56
castle	eab1
category	e574
celebration	ea65
church	eaae
cleaning_services	f0ff
compass_calibration	e57c
connecting_airports	e7c9
crisis_alert	ebe9
delivery_dining	ea72
departure_board	e576
design_services	f10a
diamond	ead5
dinner_dining	ea57
directions	e52e
directions_bike	e52f
directions_boat	e532
directions_boat_filled	eff5
directions_bus	e530
directions_bus_filled	eff6
directions_car	e531
directions_car_filled	eff7
directions_railway	e534
directions_railway_filled	eff8
directions_run	e566
directions_subway	e533
directions_subway_filled	eff9
directions_transit	e535
directions_transit_filled	effa
directions_walk	e536
dry_cleaning	ea58
edit_attributes	e578
edit_location	e568
edit_location_alt	e1c5
edit_road	ef4d
egg	eacc
egg_alt	eac8
electric_bike	eb1b
electric_car	eb1c
electric_moped	eb1d
electric_rickshaw	eb1e
electric_scooter	eb1f
electrical_services	f102
emergency	e1eb
emergency_recording	ebf4
emergency_share	ebf6
ev_station	e56d
factory	ebbc
fastfood	e57a
festival	ea68
fire_hydrant_alt	f8f1
fire_truck	f8f2
flight	e539
flight_class	e7cb
forest	ea99
fork_left	eba0
fork_right	ebac
fort	eaad
hail	e9b1
handyman	f10b
hardware	ea59
home_repair_service	f100
hotel	e53a
hvac	f10e
icecream	ea69
kebab_dining	e842
layers	e53b
layers_clear	e53c
liquor	ea60
local_activity	e53f
local_airport	e53d
local_atm	e53e
local_bar	e540
local_cafe	e541
local_car_wash	e542
local_convenience_store	e543
local_dining	e556
local_drink	e544
local_fire_department	ef55
local_florist	e545
local_gas_station	e546
local_grocery_store	e547
local_hospital	e548
local_hotel	e549
local_laundry_service	e54a
local_library	e54b
local_mall	e54c
local_movies	e54d
local_offer	e54e
local_parking	e54f
local_pharmacy	e550
local_phone	e551
local_pizza	e552
local_play	e553
local_police	ef56
local_post_office	e554
local_printshop	e555
local_see	e557
local_shipping	e558
local_taxi	e559
lunch_dining	ea61
map	e55b
maps_ugc	ef58
medical_information	ebed
medical_services	f109
menu_book	ea19
merge	eb98
minor_crash	ebf1
miscellaneous_services	f10c
mode_of_travel	e7ce
money	e57d
moped	eb28
mosque	eab2
moving	e501
multiple_stop	f1b9
museum	ea36
my_location	e55c
navigation	e55d
near_me	e569
near_me_disabled	f1ef
nightlife	ea62
no_crash	ebf0
no_meals	f1d6
no_transfer	f1d5
not_listed_location	e575
park	ea63
pedal_bike	eb29
person_pin	e55a
person_pin_circle	e56a
pest_control	f0fa
pest_control_rodent	f0fd
pin_drop	e55e
place	e55f
plumbing	f107
railway_alert	e9d1
ramen_dining	ea64
ramp_left	eb9c
ramp_right	eb96
rate_review	e560
remove_road	ebfc
restaurant	e56c
restaurant_menu	e561
roundabout_left	eb99
roundabout_right	eba3
route	eacd
run_circle	ef6f
safety_check	ebef
sailing	e502
satellite	e562
screen_rotation_alt	ebee
set_meal	f1ea
signpost	eb91
snowmobile	e503
sos	ebf7
soup_kitchen	e7d3
stadium	eb90
store_mall_directory	e563
straight	eb95
streetview	e56e
subway	e56f
synagogue	eab0
takeout_dining	ea74
taxi_alert	ef74
temple_buddhist	eab3
temple_hindu	eaaf
terrain	e564
theater_comedy	ea66
tire_repair	ebc8
traffic	e565
train	e570
tram	e571
transfer_within_a_station	e572
transit_enterexit	e579
trip_origin	e57b
turn_left	eba6
turn_right	ebab
turn_sharp_left	eba7
turn_sharp_right	ebaa
turn_slight_left	eba4
turn_slight_right	eb9a
two_wheeler	e9f9
u_turn_left	eba1
u_turn_right	eba2
volunteer_activism	ea70
warehouse	ebb8
wine_bar	f1e8
wrong_location	ef78
zoom_in_map	eb2d
zoom_out_map	e56b
