add_home_work	f8ed
app_settings_alt	ef41
apps	e5c3
apps_outage	e7cc
arrow_back	e5c4
arrow_back_ios	e5e0
arrow_back_ios_new	e2ea
arrow_downward	e5db
arrow_drop_down	e5c5
arrow_drop_down_circle	e5c6
arrow_drop_up	e5c7
arrow_forward	e5c8
arrow_forward_ios	e5e1
arrow_left	e5de
arrow_right	e5df
arrow_upward	e5d8
assistant_direction	e988
campaign	ef49
cancel	e5c9
check	e5ca
chevron_left	e5cb
chevron_right	e5cc
close	e5cd
double_arrow	ea50
east	f1df
expand_circle_down	e7cd
expand_less	e5ce
expand_more	e5cf
first_page	e5dc
fullscreen	e5d0
fullscreen_exit	e5d1
home_work	ea09
last_page	e5dd
legend_toggle	f11b
maps_home_work	f030
menu	e5d2
menu_open	e9bd
more_horiz	e5d3
more_vert	e5d4
north	f1e0
north_east	f1e1
north_west	f1e2
offline_share	e9c5
payments	ef63
pivot_table_chart	e9ce
refresh	e5d5
south	f1e3
south_east	f1e4
south_west	f1e5
subdirectory_arrow_left	e5d9
subdirectory_arrow_right	e5da
switch_left	f1d1
switch_right	f1d2
unfold_less	e5d6
unfold_more	e5d7
waterfall_chart	ea00
west	f1e6
