account_tree	e97a
adb	e60e
airline_seat_flat	e630
airline_seat_flat_angled	e631
airline_seat_individual_suite	e632
airline_seat_legroom_extra	e633
airline_seat_legroom_normal	e634
airline_seat_legroom_reduced	e635
airline_seat_recline_extra	e636
airline_seat_recline_normal	e637
bluetooth_audio	e60f
confirmation_number	e638
directions_off	f10f
disc_full	e610
do_disturb	f08c
do_disturb_alt	f08d
do_disturb_off	f08e
do_disturb_on	f08f
do_not_disturb	e612
do_not_disturb_alt	e611
do_not_disturb_off	e643
do_not_disturb_on	e644
drive_eta	e613
enhanced_encryption	e63f
event_available	e614
event_busy	e615
event_note	e616
folder_special	e617
imagesearch_roller	e9b4
live_tv	e639
mms	e618
more	e619
network_check	e640
network_locked	e61a
no_encryption	e641
no_encryption_gmailerrorred	f03f
ondemand_video	e63a
personal_video	e63b
phone_bluetooth_speaker	e61b
phone_callback	e649
phone_forwarded	e61c
phone_locked	e61e
phone_missed	e61f
phone_paused	e620
power	e63c
power_off	e646
priority_high	e645
running_with_errors	e51d
sd_card	e623
sd_card_alert	f057
sim_card_alert	e624
sms	e625
sms_failed	e626
support_agent	f0e2
sync	e627
sync_disabled	e628
sync_lock	eaee
sync_problem	e629
system_update	e62a
tap_and_play	e62b
time_to_leave	e62c
tv_off	e647
vibration	e62d
video_chat	f8a0
voice_chat	e62e
vpn_lock	e62f
wc	e63d
wifi	e63e
wifi_off	e648
