ac_unit	eb3b
airport_shuttle	eb3c
all_inclusive	eb3d
apartment	ea40
baby_changing_station	f19b
backpack	f19c
balcony	e58f
bathtub	ea41
beach_access	eb3e
bento	f1f4
bungalow	e591
business_center	eb3f
cabin	e589
carpenter	f1f8
casino	eb40
chalet	e585
charging_station	f19d
checkroom	f19e
child_care	eb41
child_friendly	eb42
corporate_fare	f1d0
cottage	e587
countertops	f1f7
crib	e588
desk	f8f4
do_not_step	f19f
do_not_touch	f1b0
dry	f1b3
elevator	f1a0
escalator	f1a1
escalator_warning	f1ac
family_restroom	f1a2
fence	f1f6
fire_extinguisher	f1d8
fitness_center	eb43
food_bank	f1f2
foundation	f200
free_breakfast	eb44
gite	e58b
golf_course	eb45
grass	f205
holiday_village	e58a
hot_tub	eb46
house	ea44
house_siding	f202
houseboat	e584
iron	e583
kitchen	eb47
meeting_room	eb4f
microwave	f204
night_shelter	f1f1
no_backpack	f237
no_cell	f1a4
no_drinks	f1a5
no_flash	f1a6
no_food	f1a7
no_meeting_room	eb4e
no_photography	f1a8
no_stroller	f1af
other_houses	e58c
pool	eb48
rice_bowl	f1f5
roofing	f201
room_preferences	f1b8
room_service	eb49
rv_hookup	e642
smoke_free	eb4a
smoking_rooms	eb4b
soap	f1b2
spa	eb4c
sports_bar	f1f3
stairs	f1a9
storefront	ea12
stroller	f1ae
tapas	f1e9
tty	f1aa
umbrella	f1ad
vape_free	ebc6
vaping_rooms	ebcf
villa	e586
wash	f1b1
water_damage	f203
wheelchair_pickup	f1ab
