18_up_rating	f8fd
6_ft_apart	f21e
add_moderator	e97d
add_reaction	e1d3
architecture	ea3b
assist_walker	f8d5
back_hand	e764
blind	f8d6
boy	eb67
cake	e7e9
catching_pokemon	e508
clean_hands	f21f
co2	e7b0
compost	e761
connect_without_contact	f223
construction	ea3c
cookie	eaac
coronavirus	f221
cruelty_free	e799
cyclone	ebd5
deck	ea42
diversity_1	f8d7
diversity_2	f8d8
diversity_3	f8d9
domain	e7ee
domain_add	eb62
downhill_skiing	e509
edit_notifications	e525
elderly	f21a
elderly_woman	eb69
emoji_emotions	ea22
emoji_events	ea23
emoji_food_beverage	ea1b
emoji_nature	ea1c
emoji_objects	ea24
emoji_people	ea1d
emoji_symbols	ea1e
emoji_transportation	ea1f
engineering	ea3d
face_2	f8da
face_3	f8db
face_4	f8dc
face_5	f8dd
face_6	f8de
female	e590
fireplace	ea43
fitbit	e82b
flood	ebe6
follow_the_signs	f222
front_hand	e769
girl	eb68
group	e7ef
group_add	e7f0
group_off	e747
group_remove	e7ad
groups	f233
groups_2	f8df
groups_3	f8e0
handshake	ebcb
health_and_safety	e1d5
heart_broken	eac2
hiking	e50a
history_edu	ea3e
hive	eaa6
ice_skating	e50b
interests	e7c8
ios_share	e6b8
kayaking	e50c
king_bed	ea45
kitesurfing	e50d
landslide	ebd7
location_city	e7f1
luggage	f235
male	e58e
man	e4eb
man_2	f8e1
man_3	f8e2
man_4	f8e3
masks	f218
military_tech	ea3f
mood	e7f2
mood_bad	e7f3
nights_stay	ea46
no_adult_content	f8fe
no_luggage	f23b
nordic_walking	e50e
notification_add	e399
notifications	e7f4
notifications_active	e7f7
notifications_none	e7f5
notifications_off	e7f6
notifications_paused	e7f8
outdoor_grill	ea47
pages	e7f9
paragliding	e50f
party_mode	e7fa
people	e7fb
people_alt	ea21
people_outline	e7fc
person	e7fd
person_2	f8e4
person_3	f8e5
person_4	f8e6
person_add	e7fe
person_add_alt	ea4d
person_add_alt_1	ef65
person_off	e510
person_outline	e7ff
person_remove	ef66
person_remove_alt_1	ef67
personal_injury	e6da
piano	e521
piano_off	e520
pix	eaa3
plus_one	e800
poll	e801
precision_manufacturing	f049
psychology	ea4a
psychology_alt	f8ea
public	e80b
public_off	f1ca
real_estate_agent	e73a
recommend	e9d2
recycling	e760
reduce_capacity	f21c
remove_moderator	e9d4
roller_skating	ebcd
safety_divider	e1cc
sanitizer	f21d
scale	eb5f
school	e80c
science	ea4b
scoreboard	ebd0
scuba_diving	ebce
self_improvement	ea78
sentiment_dissatisfied	e811
sentiment_neutral	e812
sentiment_satisfied	e813
sentiment_very_dissatisfied	e814
sentiment_very_satisfied	e815
severe_cold	ebd3
share	e80d
sick	f220
sign_language	ebe5
single_bed	ea48
skateboarding	e511
sledding	e512
snowboarding	e513
snowshoeing	e514
social_distance	e1cb
south_america	e7e4
sports	ea30
sports_baseball	ea51
sports_basketball	ea26
sports_cricket	ea27
sports_esports	ea28
sports_football	ea29
sports_golf	ea2a
sports_gymnastics	ebc4
sports_handball	ea33
sports_hockey	ea2b
sports_kabaddi	ea34
sports_martial_arts	eae9
sports_mma	ea2c
sports_motorsports	ea2d
sports_rugby	ea2e
sports_soccer	ea2f
sports_tennis	ea32
sports_volleyball	ea31
surfing	e515
switch_account	e9ed
thumb_down_alt	e816
thumb_up_alt	e817
thunderstorm	ebdb
tornado	e199
transgender	e58d
travel_explore	e2db
tsunami	ebd8
vaccines	e138
volcano	ebda
wallet	f8ff
water_drop	e798
waving_hand	e766
whatshot	e80e
woman	e13e
woman_2	f8e7
workspace_premium	e7af
